name,state,id,pop_2020
Jefferson County,Arkansas,23c0d401,65377
Johnson County,Arkansas,8c5a2764,26513
Lafayette County,Arkansas,fe677959,6596
Lawrence County,Arkansas,a9690a3a,16410
Lee County,Arkansas,609b29b4,8513
Lincoln County,Arkansas,3016f8f5,12944
Little River County,Arkansas,97aa8b42,12180
Logan County,Arkansas,a57e2b72,21410
Lonoke County,Arkansas,39aaa91d,73921
Madison County,Arkansas,c0180157,16644
Marion County,Arkansas,99fad7f1,16790
Miller County,Arkansas,6922324f,43177
Mississippi County,Arkansas,685eb0d4,40066
Monroe County,Arkansas,45084680,6584
Montgomery County,Arkansas,fced2867,9006
Nevada County,Arkansas,116d3f51,8099
Newton County,Arkansas,09064090,7602
Ouachita County,Arkansas,d43f739b,23167
Perry County,Arkansas,ce2fdada,10327
Phillips County,Arkansas,2c2afd8a,17299
Pike County,Arkansas,6c5b1e16,10643
Poinsett County,Arkansas,90a3cff1,23283
Polk County,Arkansas,8563cd6b,19707
Pope County,Arkansas,5e912eef,64334
Prairie County,Arkansas,c5f6669b,7966
Pulaski County,Arkansas,683d28db,392980
Randolph County,Arkansas,575cb836,18247
St. Francis County,Arkansas,38c2197c,24682
Saline County,Arkansas,4b54e2e3,123968
Scott County,Arkansas,429ff2d7,10164
Searcy County,Arkansas,95f32551,7842
Sebastian County,Arkansas,d6035d51,127590
Sevier County,Arkansas,26d9540c,16702
Sharp County,Arkansas,c032cf5d,17424
Stone County,Arkansas,3a8b354e,12674
Union County,Arkansas,c278df11,38219
Van Buren County,Arkansas,d86ad4db,16541
Washington County,Arkansas,d72f2f9d,243216
White County,Arkansas,0446ed4c,78729
Woodruff County,Arkansas,3df2c2c5,6264
Yell County,Arkansas,f132a982,21181
Alameda County,California,913ca194,1662323
Alpine County,California,88a63228,1119
Amador County,California,57d5825f,40083
Butte County,California,0b32e5f5,212744
Calaveras County,California,69917d4f,46308
Colusa County,California,11ef606c,21558
Contra Costa County,California,33d4170b,1152333
Del Norte County,California,6cefd344,27968
El Dorado County,California,dfef8e94,192925
Fresno County,California,72fc100f,1000918
Glenn County,California,5af6b7a3,28283
Humboldt County,California,a34873cb,134977
Imperial County,California,b7202d9e,180267
Inyo County,California,92980c16,18046
Kern County,California,f2c3d2f0,901362
Kings County,California,91453b22,152692
Lake County,California,30d9f7f0,64479
Lassen County,California,3a5a545b,30016
Los Angeles County,California,54b5ca20,9943046
Madera County,California,cdb49410,157761
Marin County,California,fff01f1c,257332
Mariposa County,California,a4b0a97a,17160
Mendocino County,California,31c578f1,86061
Merced County,California,9ec390b3,279252
Modoc County,California,e188aae6,8763
Mono County,California,773c80aa,14534
Monterey County,California,8380797b,430906
Napa County,California,9a146255,135965
Nevada County,California,1e76bcde,99606
Orange County,California,b28f1321,3166857
Placer County,California,117c5354,402950
Plumas County,California,6b50c3f3,18967
Riverside County,California,ede83ead,2489188
Sacramento County,California,875352a4,1559146
San Benito County,California,d8bb355f,64055
San Bernardino County,California,ca700b0d,2189183
San Diego County,California,80d87e04,3332427
San Francisco County,California,19b54bc0,866606
San Joaquin County,California,74f7d581,767967
San Luis Obispo County,California,5c80604d,282249
San Mateo County,California,fae661ab,758308
Santa Barbara County,California,a9e1ad4d,444766
Santa Clara County,California,727eb6b6,1907105
Santa Cruz County,California,95568436,269925
Shasta County,California,93a27707,179027
Sierra County,California,23e03c5e,2920
Siskiyou County,California,963bb6ca,43245
Solano County,California,3c91ea2f,446935
Sonoma County,California,e8c2425e,489819
Stanislaus County,California,34dec2d3,550081
Sutter County,California,7f13465c,96385
Tehama County,California,f88d8c41,64494
Trinity County,California,a6064fd9,12216
Tulare County,California,c730f8c4,468680
Tuolumne County,California,bbdf5e71,54515
Ventura County,California,8ee38a27,841387
Yolo County,California,fe1c0dd4,219728
Yuba County,California,318c9a0b,80160
Adams County,Colorado,3280dc11,519883
Alamosa County,Colorado,e152562d,16180
Arapahoe County,Colorado,c1cb93d8,657452
Archuleta County,Colorado,aebd4f94,14196
Baca County,Colorado,08ed68ae,3555
Bent County,Colorado,ef9705a7,5356
Boulder County,Colorado,1b90728e,327171
Broomfield County,Colorado,fcd6f95e,72236
Chaffee County,Colorado,3d525a9d,20661
Cheyenne County,Colorado,2b43ddac,1795
Clear Creek County,Colorado,b05add7e,9586
Conejos County,Colorado,d12f4d7e,8143
Costilla County,Colorado,c36a6ef3,3921
Crowley County,Colorado,ea2f3f11,5696
Custer County,Colorado,206da35d,5183
Delta County,Colorado,d58817d1,31067
Denver County,Colorado,f19855f7,735538
Dolores County,Colorado,fefca81e,2096
Douglas County,Colorado,e7163554,360750
Eagle County,Colorado,731ad3eb,54929
Elbert County,Colorado,d8016d29,27313
El Paso County,Colorado,1e901e68,728310
Fremont County,Colorado,ee88dde0,47867
Garfield County,Colorado,d0535fc0,60366
Gilpin County,Colorado,6df6872d,6235
Grand County,Colorado,9b835b36,15794
Gunnison County,Colorado,9fdddd4c,17593
Hinsdale County,Colorado,c3937aad,808
Huerfano County,Colorado,bfd626e6,6883
Jackson County,Colorado,891f2cbb,1389
Jefferson County,Colorado,48ec0d52,583283
Kiowa County,Colorado,d31bee55,1458
Kit Carson County,Colorado,9dbb8167,7121
Lake County,Colorado,6834af97,7987
La Plata County,Colorado,445cfdad,56564
Larimer County,Colorado,e4f118ec,360428
Las Animas County,Colorado,6679cc29,14420
Lincoln County,Colorado,a2ad61fa,5680
Logan County,Colorado,89036697,21974
