,name,state,id,pop_2020
17236,City township,Missouri,618f5bd2,4233
4770,Macomb City township,Illinois,5e9e06b0,17206
4234,Galesburg City township,Illinois,8a3b2d4b,29803
3913,Cunningham township,Illinois,8648085b,41724
3567,Bloomington City township,Illinois,1a721aef,77132
3770,Champaign City township,Illinois,afcad00b,89390
